review,rating
Best for senior citizens or for extra phnREAD MORE,5
BestREAD MORE,5
OkREAD MORE,5
Best way to go to old daysREAD MORE,5
Very Good QualityREAD MORE,5
Awesome qualityREAD MORE,5
Head phone are not in box and also expansive in shopREAD MORE,2
Product is good but delivery is very slowREAD MORE,5
Loved itREAD MORE,5
Nice 👍READ MORE,5
Good phoneREAD MORE,5
SuperREAD MORE,5
Super product 🙂low price good quality ✌🏻READ MORE,5
GoodREAD MORE,5
Very bad phone battery power is very low and display is very bad and value of money is very low.READ MORE,2
Good and easy to use for everyone.READ MORE,4
NiceREAD MORE,4
GoodREAD MORE,5
Very very thanks flipkart ....READ MORE,5
NiceREAD MORE,4
SuperREAD MORE,5
Best phone thanku flipkartREAD MORE,5
Very goodREAD MORE,4
Very nice phoneREAD MORE,5
goodREAD MORE,4
Good productREAD MORE,4
SuperREAD MORE,5
GoodREAD MORE,5
NiceREAD MORE,5
"Good battery backup.. Worth buying. If you are in a plan to buy basic phone for price arround 1000..I suggest, this is the best phone in the market to go for.READ MORE",5
Obviously good...READ MORE,4
GoodREAD MORE,5
AwesomeREAD MORE,3
GoodREAD MORE,5
Very good 👍product.READ MORE,4
NycREAD MORE,5
I love my PhoneREAD MORE,5
Battery superb & catch network very first....READ MORE,5
SuperREAD MORE,4
Nice product plZ Buy itREAD MORE,5
Old mobileREAD MORE,1
NiceREAD MORE,5
NiceREAD MORE,5
It's overall good slow but should say for emergency you can definitely go for thisREAD MORE,3
SuperbI am satisfiedREAD MORE,4
NiceREAD MORE,5
That was niceREAD MORE,5
excellentREAD MORE,5
Good productREAD MORE,5
GoodREAD MORE,5
NiceREAD MORE,4
Good mobileREAD MORE,5
GoodREAD MORE,5
GoodREAD MORE,5
The phone is really great for the price ! Full worthy product. Blindly you can go for this device if you want a feature phone around ~1400 INR.READ MORE,5
Good product buying this itemREAD MORE,5
Best quality from the Samsung thank UREAD MORE,4
Overall good phoneREAD MORE,5
excellent battery life it's a no nonsense phone. single sim and Absolutely no need to charge for 4 days with reasonable talktimeREAD MORE,5
gdREAD MORE,5
Good qualityREAD MORE,5
I am satisfied with its performance.READ MORE,4
it is amazing phone good looking light weightcomfortable keysREAD MORE,5
osmREAD MORE,5
it's okayREAD MORE,2
very very niceREAD MORE,5
very niceREAD MORE,4
Good product..READ MORE,5
super productREAD MORE,5
verry goodREAD MORE,5
OsmREAD MORE,5
goodREAD MORE,4
goodREAD MORE,3
awesomeREAD MORE,5
its worst mobile i ever sean before....battery is very very worst...you can just avoid this mobile and save your money...READ MORE,1
good phone for rough and tough use.READ MORE,5
It's very nice phone it's battery works 3 days once we charged it full I am so happyREAD MORE,5
niceREAD MORE,3
very nice productREAD MORE,5
best mobileREAD MORE,5
goodREAD MORE,5
Must productREAD MORE,4
NiceREAD MORE,4
superbREAD MORE,4
cholbeREAD MORE,4
good product with less priceREAD MORE,5
just awesomeREAD MORE,5
very niceREAD MORE,5
Value of moneyREAD MORE,5
Good MobileREAD MORE,5
very very good mobileREAD MORE,4
Good productREAD MORE,5
Phone is copyREAD MORE,3
Nice modelREAD MORE,5
nice productmoney valuableREAD MORE,5
worth for the amountREAD MORE,4
it's okayREAD MORE,2
very very niceREAD MORE,5
very niceREAD MORE,4
Good product..READ MORE,5
super productREAD MORE,5
verry goodREAD MORE,5
OsmREAD MORE,5
goodREAD MORE,4
goodREAD MORE,3
awesomeREAD MORE,5
its worst mobile i ever sean before....battery is very very worst...you can just avoid this mobile and save your money...READ MORE,1
good phone for rough and tough use.READ MORE,5
It's very nice phone it's battery works 3 days once we charged it full I am so happyREAD MORE,5
niceREAD MORE,3
very nice productREAD MORE,5
best mobileREAD MORE,5
goodREAD MORE,5
Must productREAD MORE,4
NiceREAD MORE,4
superbREAD MORE,4
cholbeREAD MORE,4
good product with less priceREAD MORE,5
just awesomeREAD MORE,5
very niceREAD MORE,5
Value of moneyREAD MORE,5
Good MobileREAD MORE,5
very very good mobileREAD MORE,4
Good productREAD MORE,5
Phone is copyREAD MORE,3
Nice modelREAD MORE,5
GoodREAD MORE,4
good productREAD MORE,4
Good 1.READ MORE,4
goodREAD MORE,5
too much bugsREAD MORE,1
goodREAD MORE,5
GoodREAD MORE,5
niceREAD MORE,5
"Good product, Thank you FlipkartREAD MORE",5
nice productREAD MORE,4
It's products is awesomeREAD MORE,4
"it was good. but i can't purchase any other product from flipcart. if I select to purchase a product, then I see the message that it is currently out of stock from my location. if I see one product out of stock I can understand it is normally out of stock. but recently one week I see all product out of stock from my area. one week before I cancelled a product. after that I see that messegeREAD MORE",4
superREAD MORE,5
SuperREAD MORE,5
goodREAD MORE,5
very good😛READ MORE,5
Samsung you are awesomeREAD MORE,5
neec productREAD MORE,4
this is very good phoneREAD MORE,4
Good.READ MORE,5
sound is not good and ringtone and calls volume to lowREAD MORE,3
okREAD MORE,5
niceREAD MORE,5
goodREAD MORE,5
Best phoneREAD MORE,5
Great phone with good priceREAD MORE,5
very bad after 1 month phone was not working..READ MORE,1
Really Awesome ProductREAD MORE,5
It'g good phone in low budget for easy use of aged people...READ MORE,5
Samsung guru ok. but my suggestions you buy Samsung music phone.READ MORE,3
superREAD MORE,4
Best keypad phoneREAD MORE,4
GoodREAD MORE,4
good productREAD MORE,4
Good 1.READ MORE,4
goodREAD MORE,5
too much bugsREAD MORE,1
goodREAD MORE,5
GoodREAD MORE,5
niceREAD MORE,5
"Good product, Thank you FlipkartREAD MORE",5
nice productREAD MORE,4
It's products is awesomeREAD MORE,4
"it was good. but i can't purchase any other product from flipcart. if I select to purchase a product, then I see the message that it is currently out of stock from my location. if I see one product out of stock I can understand it is normally out of stock. but recently one week I see all product out of stock from my area. one week before I cancelled a product. after that I see that messegeREAD MORE",4
superREAD MORE,5
SuperREAD MORE,5
goodREAD MORE,5
very good😛READ MORE,5
Samsung you are awesomeREAD MORE,5
neec productREAD MORE,4
this is very good phoneREAD MORE,4
Good.READ MORE,5
sound is not good and ringtone and calls volume to lowREAD MORE,3
okREAD MORE,5
niceREAD MORE,5
goodREAD MORE,5
Best phoneREAD MORE,5
Great phone with good priceREAD MORE,5
very bad after 1 month phone was not working..READ MORE,1
Really Awesome ProductREAD MORE,5
It'g good phone in low budget for easy use of aged people...READ MORE,5
Samsung guru ok. but my suggestions you buy Samsung music phone.READ MORE,3
Good productREAD MORE,5
but  headset facility  is not havingREAD MORE,4
goodREAD MORE,4
nice productREAD MORE,5
nice superrr😊😊😊😊READ MORE,5
good product value for money......................READ MORE,5
good product but battery performance lowREAD MORE,5
It's a very good mobile & i like itREAD MORE,5
fastest delivery by flipkart boy.... love with this Mobile.... must buy itREAD MORE,5
goodREAD MORE,4
okREAD MORE,4
ringing noise too lowREAD MORE,4
Switch off all the timeREAD MORE,5
goodREAD MORE,5
goodREAD MORE,5
very nice qualityREAD MORE,5
niceREAD MORE,5
NiceREAD MORE,4
goodREAD MORE,3
This mobile is very good.Voice call is goodREAD MORE,4
good mobile with lit battery backupREAD MORE,4
awsm product....good QualityREAD MORE,4
goodREAD MORE,5
"very good mobile, thanks FlipcartREAD MORE",4
Great product..thanku Samsung and flipkartREAD MORE,5
Good productREAD MORE,5
technical problems while receiving call... worst product... Nokia is the best under the same range....READ MORE,1
AwesomeREAD MORE,5
"phone is so much of nice as compare price , just only charging pin is not good bcoz its different from other phone pin.READ MORE",5
BastREAD MORE,5
superREAD MORE,4
BestREAD MORE,5
goodREAD MORE,5
v goodREAD MORE,4
very good productREAD MORE,5
better phon other phonesREAD MORE,5
good MobileREAD MORE,5
AwesomeREAD MORE,5
it is a very good productREAD MORE,5
Good morningREAD MORE,5
nice phoneREAD MORE,4
nice  i love itREAD MORE,5
goodREAD MORE,5
battery very niceREAD MORE,5
good product... worth moneyREAD MORE,5
nycREAD MORE,5
The best simple phone..👍💯READ MORE,5
Good ProductREAD MORE,5
niceREAD MORE,5
"Nice mobile, value for money Thank you FPREAD MORE",5
goodREAD MORE,3
This mobile is very good.Voice call is goodREAD MORE,4
good mobile with lit battery backupREAD MORE,4
awsm product....good QualityREAD MORE,4
goodREAD MORE,5
"very good mobile, thanks FlipcartREAD MORE",4
Great product..thanku Samsung and flipkartREAD MORE,5
Good productREAD MORE,5
niceREAD MORE,4
GoodREAD MORE,4
goodREAD MORE,4
niceREAD MORE,5
awesome phoneREAD MORE,5
nice mobileREAD MORE,5
tqREAD MORE,5
Battery capacity is excellent and condition of mobile is also good.....READ MORE,4
OSMREAD MORE,4
best phone forever for calling only.READ MORE,5
GOODREAD MORE,5
goodREAD MORE,5
good phone for Calling and smsREAD MORE,4
good productREAD MORE,5
thanksREAD MORE,5
niceREAD MORE,5
excellent quality deviceREAD MORE,5
Sonu bajajREAD MORE,5
good productREAD MORE,5
This Mobile is very good 👍👌👍👌.osamREAD MORE,5
good delivery....got it by the next day itself...thanksREAD MORE,5
goodREAD MORE,5
it's does have a camera and memory card slotREAD MORE,5
you are awesomeREAD MORE,5
bad mobile. don't bayREAD MORE,1
niceREAD MORE,4
OkREAD MORE,5
Super Excellent thanks for flipkartREAD MORE,1
good mobileREAD MORE,5
Long life product👌👌👌👌👌👌👌👌READ MORE,5
Best phone for jee aspirants Least distractionREAD MORE,5
Love you Samsung.READ MORE,5
niceREAD MORE,4
GoodREAD MORE,4
goodREAD MORE,4
niceREAD MORE,5
awesome phoneREAD MORE,5
nice mobileREAD MORE,5
tqREAD MORE,5
Battery capacity is excellent and condition of mobile is also good.....READ MORE,4
OSMREAD MORE,4
best phone forever for calling only.READ MORE,5
GOODREAD MORE,5
goodREAD MORE,5
good phone for Calling and smsREAD MORE,4
good productREAD MORE,5
thanksREAD MORE,5
niceREAD MORE,5
excellent quality deviceREAD MORE,5
Sonu bajajREAD MORE,5
good productREAD MORE,5
This Mobile is very good 👍👌👍👌.osamREAD MORE,5
good delivery....got it by the next day itself...thanksREAD MORE,5
goodREAD MORE,5
it's does have a camera and memory card slotREAD MORE,5
you are awesomeREAD MORE,5
bad mobile. don't bayREAD MORE,1
niceREAD MORE,4
OkREAD MORE,5
Super Excellent thanks for flipkartREAD MORE,1
good mobileREAD MORE,5
Long life product👌👌👌👌👌👌👌👌READ MORE,5
Really good Product.READ MORE,4
ThanksREAD MORE,5
niceREAD MORE,3
goodREAD MORE,5
the bestREAD MORE,5
Very goodREAD MORE,5
NiceREAD MORE,5
okREAD MORE,5
averageREAD MORE,5
Excellent product.easy to use.READ MORE,5
NiceREAD MORE,5
I brought this mobile tried to use but speaker was not good and can't able to hear anything. I replaced this mobile with same GURI1200 but 2nd piece too having similar problem. I fed up and lost money simply.READ MORE,1
goodREAD MORE,5
SupperREAD MORE,4
good salesmanREAD MORE,5
value for moneyREAD MORE,4
NiceREAD MORE,5
value for moneyREAD MORE,5
normal samsung is goodREAD MORE,4
okREAD MORE,4
best phone in low priceREAD MORE,4
awesome mobile... battery backup is very good...READ MORE,5
Very nice productREAD MORE,4
Good productREAD MORE,5
Best dumb phone to have while world is going after smartphone.READ MORE,5
Best dumb phone to have while world is going crazy about smart phone.READ MORE,5
good product..READ MORE,5
niceREAD MORE,5
good productREAD MORE,4
Very goodREAD MORE,4
better one 🙂READ MORE,5
best keypadphonREAD MORE,5
nice phoneREAD MORE,5
niceREAD MORE,5
goodREAD MORE,5
It's a basic phoneREAD MORE,2
goodREAD MORE,5
bestREAD MORE,5
Nice phone MST buyREAD MORE,5
okREAD MORE,5
OkREAD MORE,5
very good phoneREAD MORE,5
GreatREAD MORE,5
very good small n beautifulREAD MORE,5
"Seems tiny, feels light, but does a great job...READ MORE",5
verry good product 👍👍👍👍READ MORE,5
good productgREAD MORE,5
very nice mobileREAD MORE,5
NiceREAD MORE,5
value for moneyREAD MORE,5
normal samsung is goodREAD MORE,4
okREAD MORE,4
best phone in low priceREAD MORE,4
awesome mobile... battery backup is very good...READ MORE,5
Very nice productREAD MORE,4
Good productREAD MORE,5
Best dumb phone to have while world is going after smartphone.READ MORE,5
Best dumb phone to have while world is going crazy about smart phone.READ MORE,5
good product..READ MORE,5
niceREAD MORE,5
good productREAD MORE,4
Very goodREAD MORE,4
better one 🙂READ MORE,5
best keypadphonREAD MORE,5
nice phoneREAD MORE,5
niceREAD MORE,5
goodREAD MORE,5
It's a basic phoneREAD MORE,2
nice phonREAD MORE,5
good product and fast deliveryREAD MORE,5
goodREAD MORE,5
"it's beauuutiifullllll, the color is mesmerizing, but i still gave 4 stars, cause the FM is missing, no FM ...???? HOW....??? WHY.....??? earphones ....nope.... charging port is not conventional, can be charged only through the provided one, i miss the days when the keypad phones were like ....something.... i so wish this product had its current appearance with all the ""before"" features, would ve paid a little more.... maybe... :PREAD MORE",4
goodREAD MORE,5
good productREAD MORE,5
very good mobiles and lookREAD MORE,5
very good product iam happy thanks To Flipkart TeamREAD MORE,5
Best mobile and battery by priceREAD MORE,5
good productREAD MORE,4
good productgREAD MORE,5
very nice mobileREAD MORE,5
nice mobile with very nice budget and batteryREAD MORE,5
goodREAD MORE,5
best phone in reasonable priceREAD MORE,5
awesomeREAD MORE,5
goodREAD MORE,4
sema phoneREAD MORE,4
nice battery pickupREAD MORE,5
"excellent product, and service with Flipkart. keep it upREAD MORE",5
Nice  PhoneREAD MORE,5
OkREAD MORE,4
goodREAD MORE,4
Simply niceREAD MORE,5
low price nice phoneREAD MORE,4
goodREAD MORE,5
goodREAD MORE,5
Best feature phone in marketREAD MORE,5
good productREAD MORE,5
Nice pr6READ MORE,5
good productREAD MORE,4
goodREAD MORE,4
nice phonREAD MORE,5
good product and fast deliveryREAD MORE,5
goodREAD MORE,5
"it's beauuutiifullllll, the color is mesmerizing, but i still gave 4 stars, cause the FM is missing, no FM ...???? HOW....??? WHY.....??? earphones ....nope.... charging port is not conventional, can be charged only through the provided one, i miss the days when the keypad phones were like ....something.... i so wish this product had its current appearance with all the ""before"" features, would ve paid a little more.... maybe... :PREAD MORE",4
goodREAD MORE,5
good productREAD MORE,5
very good mobiles and lookREAD MORE,5
very good product iam happy thanks To Flipkart TeamREAD MORE,5
simpal mobile phone long battery backup.READ MORE,5
Its AwesomeREAD MORE,5
superREAD MORE,5
Nice MobileREAD MORE,5
very  goodREAD MORE,3
goodREAD MORE,5
very good productREAD MORE,5
it's a best phone for talk time you can listen voice is very clearREAD MORE,5
easy way 100 vasul tgahnk you e kartwell deliveryREAD MORE,5
excel2READ MORE,5
goodREAD MORE,5
so niceREAD MORE,5
super quality I am very happyREAD MORE,5
superREAD MORE,4
"Price is little high, but product is goodREAD MORE",3
nice phoneREAD MORE,4
not badREAD MORE,4
nice and good quality mobileREAD MORE,5
GoodREAD MORE,4
return correct timeREAD MORE,5
"that's really awesome,  you can have it .I love this phone . And one thing the service is too good ,my product arrived in no time.Thnku so muchREAD MORE",5
best for only callingREAD MORE,4
Not bad.READ MORE,4
superb phoneREAD MORE,5
it's goodREAD MORE,5
Excellent ProductREAD MORE,5
okREAD MORE,4
nice... too frist delivery..😄😄😄😄READ MORE,5
Value of every penny spentREAD MORE,4
very nice productsREAD MORE,5
niceREAD MORE,4
superREAD MORE,5
very nice 👌 mobile from Samsung.long lasting battery.READ MORE,5
goodREAD MORE,5
Very niceREAD MORE,5
good phone for basic use..READ MORE,5
good qualityREAD MORE,5
superREAD MORE,5
heavy dutyREAD MORE,5
superREAD MORE,5
easy way 100 vasul tgahnk you e kartwell deliveryREAD MORE,5
excel2READ MORE,5
goodREAD MORE,5
so niceREAD MORE,5
super quality I am very happyREAD MORE,5
superREAD MORE,4
"Price is little high, but product is goodREAD MORE",3
nice phoneREAD MORE,4
not badREAD MORE,4
nice and good quality mobileREAD MORE,5
Good mobileREAD MORE,4
Product is good in this money price.READ MORE,5
nice productREAD MORE,5
Good service....Flipkart... Good product...READ MORE,5
compact & niceREAD MORE,5
okREAD MORE,3
Ok exlentREAD MORE,3
good itemsREAD MORE,5
GoodREAD MORE,5
Nyc product.....READ MORE,5
Value for moneyREAD MORE,5
nice phone awesomeREAD MORE,5
niceREAD MORE,4
superREAD MORE,5
very nice 👌 mobile from Samsung.long lasting battery.READ MORE,5
goodREAD MORE,5
Very niceREAD MORE,5
good phone for basic use..READ MORE,5
good qualityREAD MORE,5
superREAD MORE,5
heavy dutyREAD MORE,5
superREAD MORE,5
please don't purchase this productREAD MORE,2
superREAD MORE,5
it's goodREAD MORE,3
good productREAD MORE,5
nice mobileREAD MORE,5
GoodREAD MORE,5
very niceREAD MORE,4
ok is good phoneREAD MORE,3
very nice productREAD MORE,5
value for moneyREAD MORE,5
Good mobileREAD MORE,4
Product is good in this money price.READ MORE,5
nice productREAD MORE,5
Good service....Flipkart... Good product...READ MORE,5
compact & niceREAD MORE,5
okREAD MORE,3
Ok exlentREAD MORE,3
good itemsREAD MORE,5
GoodREAD MORE,5
Nyc product.....READ MORE,5
BestREAD MORE,3
good producedREAD MORE,4
GoodREAD MORE,5
Very good quality and very best for regular usesREAD MORE,5
This is simply budget mobile. Its working condition is good. Delivery is very well.READ MORE,5
really superREAD MORE,5
Nice productREAD MORE,5
nice phoneREAD MORE,5
okREAD MORE,3
niceREAD MORE,4
